Speaker 1:          00:00:01       Want me to introduce you, ladies and gentlemen, the great Everlast. Hmm.

Speaker 6:          01:59:26       He's not there. No, they aren't. They aren't there. That's the, that's the bizarrest part. It was like, you know, so strange. It's the argument for that divine spark or that soul, you know what I mean? It's like, cause there's not, they're the same thing that the shells there. Yeah. You know what I mean? But it doesn't even look real. It doesn't look like the same. And I know he was made up a little bit and all this, but I'm saying just there was something, yeah, I don't know what the flat right about it. I don't know what that transition is, but I have a feeling it's just not who we think it is. I think the idea of life and death, it's just what you're dealing with is one tiny frame in a fractal universe. I remember only one thing from the experience. What do you remember? Just a voice. What'd it say? Suck it. You know?

Speaker 6:          02:00:13       It was like a voice that was just familiar, comfortable. Kind of like your grandfather's voice. But I wouldn't say it was my grandfather's voice. But you understand what I'm saying? Just and it, it was just saying like, I was in the wrong place kind of vibe. I don't even know if it was words or just a feeling that was being conveyed to me. Right. Look you're going to come back, but it was definitely the only conscious thing I can remember from the whatever's several minutes that I was supposedly dead. Wow, that's trippy dude. You've been to the other side. Maybe that's why you're so bluesy. I don't know man. I'm just saying it's like I just remember feeling like a very comfortable like at situated ease kind of voice when you heard it and it was just like, no, no, you would kinda, you ain't supposed to be here.

Speaker 6:          02:00:54       Kind of thing. Like a lot of people have said that. A lot of people that have gone through that said that, but you know the fractal nature of the university, like I don't know why it's so weird for people to think that something happens after they die. Like I showed up at your GRANDPA's house too early for your own surprise party. That's how it felt. Kind of like wow. And your grandpa was trying to be like, Nah, don't, don't, that's, that's the weirdest way I can put it. I wonder if what it is is just we, we, we think that this life is all there is because this is what we're experiencing, but this is just a temporary blip. This is this one stage and an infinite number of stages and we leave this and go into the next one and we shouldn't be scared of it.

Speaker 6:          02:01:29       Well, that's the realization that I believe most people call your life flashing before your eyes is the summation that your life was like when I was laying on the table and they were rolling me in for that operation, I was pretty much convinced I was dying. I was going to die. There was nothing the way they were panicking and the way my chest felt and I knew I was born with this thing. I was like, Oh wow, I'm checking out. This is it. And like the whole time, and it was just sitting there like it wasn't, I wasn't consumed with fear. I mean though I was, there was, there was fear. There was just like this summation of like, that's my life that quick. Wow. Everything that I've ever done is been that only that long from the minute I was born to now that's it. Do the things and it wouldn't have mattered if I live 40 more years. That's, that would have been the exact same realization that your whole life is so, so time is irrelevant. Time is a is an illusion. Time is something we made up like we're living in and we've slowed ourselves down by counting seconds. That's interesting. See I

Speaker 5:          02:02:31       people always say that time is an illusion. That's like a very popular thing to say. I think time's totally real, but I think it doesn't matter. I think the thing is so big that your idea of time is such a joke. Like your idea of time is like you measuring seconds in infinity. That's what I was like clinging to something that's impossible to clean too because although it is real and it can be measured is also movable, it doesn't matter.

Speaker 6:          02:02:54       It's movable. You know what I mean? You can move time. How can you move time in? I mean you, you do it all the time. A small increments. When you like make these realizations of like

Speaker 5:          02:03:03       all of a sudden you're somewhere. You know what I mean? Just that little small realization. These are tiny things. Precepts time is perception is okay. It's not an illusion. It's a perception. I see what you're saying. You know what I mean? So it's like the, it's all in the way you perceive it. You could zone, I can get on a 14 hour flight to Australia and zone out and I feel like I'm there in an hour. Right. You know? Is that time traveling and what's also you can, you know what I mean? Yeah, yeah, yeah. You know? I know what you're saying. I know what you're saying. It's like you, you are, even though that this time is passing, it's not passing for you. You're going somewhere else. So where is the as are you moving through time? What are you doing? During that time there was 17 hours on a count of four. You know what I mean? Yeah. And you just vegetated and lost it. Took a nap, came to the, but you know the, to take acid a lot. It would happen all the time. I'd sit there, take acid, and I'd watch the fucking sun go down and come up and it was seemed like the span of 15 minutes.

Speaker 5:          02:03:54       I don't think that counts. I don't think that counts. I think it's relevant. I think it's related. I don't think we'd survived Peer Review. I think if you brought that to a university, like, look, I figured out a time travel. I dropped acid and I watched the sun. He said, bitch, they Blake, thank you, Mr [inaudible]. You're, you're closer than you think. You really appreciate your contribution. Yeah, you're right. They would say you're closer than you think because in, in terms of infinity, I mean you really did time travel. If you decide to put a lot of energy on 14 hours in like God was going to end, that shit will drag on forever. Watched pot doesn't boil. Exactly, but it does. The problem is it really does. Doesn't it take longer? It doesn't seem to take very much longer. It seems too, because you're not enjoying the experience. I think everything is a matter of how much time around. It's how you're using that time when you're moving it right. And so in that sense, like the more joy and love you have in your, your time, the less time feels like it's passing. Absolutely. So that's the key gaps to make things, make things so they don't ever stretch out. It's always like one big fun experience. And so you're always time traveling. Does that make sense?

Speaker 9:          02:04:58       But then how would you know what fun was if there was no painful one

Speaker 5:          02:05:02       early age or get a microchip and they stick it in the back of your head.

Speaker 9:          02:05:06       So Robert Johnson special speaking to that. That's a good transition to music. We haven't done any fucking songs. We're talking it up man. Hours. Two hours. Yeah, it's five 45 right now, man. You know he gives zero fucks and you know Everlast it's always a pleasure when you come on here, man. It's always fun to just sit down and talk to you. But you ought to promote though. I got, yeah, that's what I'm saying. You're here for, you're here to have fun. We went loud again. I forgot we're on this thing. And Mike who stick the lifestyle stick. I got it. You know, which is kind of the Rogan audiences is, is at least a more than a little responsible for this record existing. So, well listen, I'm honored and uh, I mean I've done acoustic stuff at radio stations and stuff, but when I came in here and did it, people started actually calling and booking shows for it. So that's awesome. And everybody said they'd buy it. So I'm gonna hold y'all accountable. Joe has like 500,000 followers, so go get it. Let's try and get everyone. You ought to buy two of them. Yeah, I'm gonna, I'm gonna put, I'm gonna put that on Twitter. I want to put it on Twitter. Where can people get it? If I put it up right now, it's on iTunes or martyr Dash Inc com you will take you to all my stuff.

Speaker 6:          02:06:21       Stuff, you know, all my twitters and Instagram of bulls and face bookers. Okay.

Speaker 5:          02:06:27       Brian, find out or someone's, Damien, Brian, find a link and a, and tweet it to me so I could tweet it. What are you gonna play now, man?

Speaker 9:          02:06:33       MMM.

Speaker 6:          02:06:36       Let's do a little, a little cover, um, which we're talking about some of this a little earlier, but do you take requests? If I know it, can you do an American band? No,

Speaker 5:          02:06:49       not today. I've been obsessed with that song.

Speaker 9:          02:06:51       Well I came back. I'll try and have it for you next time. I'll have a very sad version of it next time you will. You'll crush my dreams. You will man, your attorney. It's a homeless people at Junkies and shit.

Speaker 6:          02:07:11       Beautiful. What are we going to do here?

Speaker 9:          02:07:31       Soon as yo make you feel, smile

Speaker 2:          02:07:37       back giving you notes. Pain is so big that you working class, working class so fucking crazy. You can't find them being working class. They expect you can't even function. Working class built so clever and I'll fucking working class. Sadly. New Loan, lack of folks on the hill working class, working class. You don't file come from no

Speaker 5:          02:11:21       fucking bad ass. Holy Shit. That's my favorite version of that song. That was beautiful. Somebody actually from your crew, uh, peoples and my peoples on my Twitter I think requested that last time. I said that's not a bad idea too. That's my favorite song now. That was beautiful. It was a John Lennon got damn. He was a bad mother fucker. John Lennon, he wrote some interesting stuff, man. That's all. What the Yoga Oh thing. Now how'd that happen? I don't know. But this dude show me that. What's, what's happened? What's your marijuana? Yes. Played it twice already. We can't, oh, I wasn't mad. I knew of that comedian guy now. I was always fair to funny, but I never heard that the Yoko Ono bit until he showed us his bill brown man. Guys on camera. So important to me. Very like 10 of them. 10 of them didn't have that good that are, that are out there that points it out like that and are honest about how they feel about shit.

Speaker 5:          02:12:14       Like his, his, his take on John Leno. I'm like, you fucking crazy. Cut. Why you yell it out? I'm here. I'm here. Single Chunk fucking and you can't leave me alone. It's so funny. So funny. Bill Burns. Beautiful. He's beautiful. So because like that is so important. Joey Diaz has his fucking take on the candelabra movie. The, the, the, uh, the Liberace movie. It is what the funniest fucking thing I've ever seen in my life. You got to see Joey Diaz has bid on it. It is so fun. I've been to, is it? Oh No, no, no, no. He has, I don't think he's put it on anything. It's so funny. It hurts my ball. I haven't seen it yet. I got to check it out. Oh, it's beautiful. It's brilliant. And it's beautiful. It really is beautiful. And that's like, you know, saying that about a movie that's about a gay dude who's a gay pub who's just given these dudes amphetamines and banging up and playing piano and making hundreds of billions of dollars just running it. He was a bad mother fucker. Dude. Liberace was a the, but that was his game. That's what he did. He paid for the surgery. He made his boyfriend get surgery. So he looks like him. Do you know how gangster that is? Like he made the guy get a chin implant, so he looks like Liberace. Ooh, that's so heavy. You want to see of a free

Speaker 4:          02:13:32       shout. Want to see this? You could put on that video when Liberace winks at me cause you know for the longest time I've played this before, I apologize to people who have heard this podcast and they listen to everyone that goes, you got to pull it out. Focus on again, the only reason being is cause Everlast is here. I just want you to see from a cultural standpoint how strange things must have been in the 1950s where this was like a real thing. There was a woman, she's writing a letter to the Liberace fan club because she's a huge fan of Liberace now. And she goes crazy and swoons when Liberace winks at her. And so there's Liberace playing piano on the TV and she's sitting there writing her letter and swooning and look at this.

Speaker 3:          02:14:14       The shit was only 60 years ago. I found a brand new eye. No Watch. Many weeks are you gonna play along? Brian, check this. We get this wink. Not a weird noise. Sounds like a computer made it though. No, it's just a chip. Yeah. Well let's just the additive in ancient fucking system on wax. You can come back. No, there's no way. Check this. He's going to wake up again though. I guarantee Ya. He said that he was like a matinee idol and you came across this. Why? I know because I, well I got really obsessed with the movie

Speaker 4:          02:15:29       movie. I saw the movie. Well I didn't even see the movie. I said Joey does talk about the movie first. And then I, I see him talking about it backstage like, well he was in the green room and we were dying laughing when he was talking about Liberace slinging a dick. You're like hypnotizing motherfuckers going. And it was so funny. I had to watch the bit. And so then he did this bit about it. So the bit, it's just ridiculous. It's, it's Matt Damon Liberace. I mean it's, it's a fucking, it's an unbelievably hilarious bit. So then I watched the movie and it was like, Oh shit, this is a good movie man. Like this is an interesting story. So young guy who fell for the chimes of an old rich gay guy and he just got gangster with him and he's just there taking pills and he's, he's got a pump fucking pump that keeps his dick hard. So he's hard all the time. You can never get satisfied. [inaudible] was just, he was a madman, just a madman. He had a thing stuck. He'll was like a thing on his dick where you just get his dick hard anytime you want. So we just pumped that bitch up.

Speaker 4:          02:16:27       God bless him. I got to this flag. Oh, it's a beautiful flick. So then I started getting interested in Liberace and started researching all this shit about Liberace and we'll start winking at you when I'm playing over here. Hey listen man, I'm not homophobic. I'm, I'm, I'm interested in human beings and strange human characters. And that was a, an incredibly strange human character. And the only thing that kept me from looking into him in the past was like that weirdness about like doing a lot of research on a gay guy. Like a really, obviously, why you pick, why do you care about gay guys? Why don't you care about gay guys? Like he's just a human. I want to know like what made that human. He was like a Alpha gay piano like gay guy. He made like $1 billion playing a fucking piano. Who does that?

Speaker 4:          02:17:07       Who does that? That's what I want to know. And he was, and he was a gangster when it came to his work ethic. He was doing multiple shows in Vegas multiple per night, you know? And, and he was a bad mother fucker. Past performance made a guy change his face. He used to come out with gigantic mink coats. Look, a thousand sables wrapped around his body playing. We see those coats. Oh my goodness. He had fucking, it just, he was the original gangster rapper. Nobody had like jewelry. Nobody had more blank than Liberace. He was the original, the Gangsta rap. He's that rapper. He's the gangster rappers. They copied Liberace first. Then Mr all the, all the bboy jewelry stuff, man. And even probably Liberace stouts certainly comes from old Jewish ladies, man.

Speaker 4:          02:17:55       Cause owl glasses. True big gold rope chains, all that shit. It was like old Jewish ladies would rock this fine jewelry back in New York and that's like, it was like, it was the good shit. It was the night shit. So that's, yeah man. I mean like, wow. That actually makes sense. I mean, that's hilarious. Dressed like Kool moe Dee though. What about those? Well, those were just crazy glasses, man. I got to work one of the greats though. Oh, without a doubt. Dude. I go to work is a fucking bad ass jam. This doctor, Kool Moe Dee was a real innovator, you know, out of those dudes that were around then. The most amazing to me is Nas. Nas is never stopped being relevant at wall Kumanti's a little bit before Nas, but yeah. But I love those like eighties and nineties guys. When was right? I was like early nineties early nineties yeah.

Speaker 4:          02:18:49       Hmm. What was this? Swimming nozzles are still young. Like he, Oh yes. First record came out and he was like 1617 years old. He doesn't age. He looks good for his age. He's only 39 wow. That's amazing. Really, I would thought he was leaving a little younger than that, but I was pretty young back then too, so it makes sense when I was like 20 something he was running. What is it about rappers that like very few of them are like Jay z that like have this longevity and keep producing more wrapped as relevant. Like some of them they get big and then they fall off. Is that like record deal type shit? Like what is that? Pop Music's that way. Pop Music. Yeah, there's a lot of fall. Even with those like

Speaker 8:          02:19:28       doo-wop bands back in the day, everyone only remembers like

Speaker 6:          02:19:31       carrot, like Jay too. They, he started completely either he started independently, someone his own records and then came into the record business as his own full partner, lollies cancers. Like they got what's called a three 60 deal nowadays. Like the label gets everything. They get your merchandising, they get your, you know, every rights they get pieces of your toying back. When I sign record deals back in the day, like I, I'm, I'm my own label now. I do my own thing. I'm completely independent. But when we had made, when I used to do major label deals, I didn't have to give them anything but a record. You know what I mean? Right now they want you publishing, they want it, you're touring, they want your merchandise and touring 10 cause nobody buys records. You know what I mean? And people buy singles, nobody buys albums anymore.

Speaker 6:          02:20:13       So if they came along right now does the only deals that are available pretty much, unless you got something going on already, like unless you already have developed yourself a scene and you're making, if you're earning on your own level, I'm sure you can go work yourself a deal somewhere and had a musicians. But if you're doing that nowadays, it's like you almost don't even want to do that. You know almost. It's like for every advantage there is to have that million dollar, billion dollar machine behind you with the, you know, there's some, there's, there's disadvantages to it, you know what I mean? Well it seems like I can't do what are, you can't do what you want.

Speaker 8:          02:20:43       I know of groups that have like a, I know a group that the guy, the head singer, it's a group fits into tantrums in this head singer, like supposedly just saved up a bunch of money and use his life savings to spearhead his group. He funded it himself, they hit the road, they played, he hired good musicians, you know, shout out to James King, uh, like he just got good people on it and they'd just tour, tour, tour, tour, tour. They did another album, the song, got a little radio, love hearing their Internet love. Now, you know, it just goes from there. But if you're just like some, nobody, you know, you're doing like pageants or something like that, you know, whatever. And you want to be famous, it's like they're going to be like, Whoa,

Speaker 6:          02:21:23       what are they trying to do in the music business? Right? So if you try and do like star search and may want to be rich and famous, you're not doing, you're not going out and grinding it out for 10 years. You want to reach, you're famous, you're taking whichever route you can pass the tracker. But that shit doesn't work right in order to get good. It kind of had with jasmine. My like a lot of them cats. That's what happens though. You know they get turned out by labels, the labels done with them. They're not hiding any more labels. They stop supporting them. Jay Z is a self supporting like entity. If the labeled after him behind he, he, he is the label. He can't be left. Do you release all your own stuff? You own all your lifestyle now? I mean I didn't early on but the last few albums, yeah I just do all my own stuff or these kind of like so beautiful and it gets a little better every year.

Speaker 6:          02:22:06       You know more than your dorm. The fans is going to tell other people there, you know, I'm still alive and you know, and then I'm still making good music. Then they can only sell a few more records and you know what I mean? If you wink, I have her last week said me, maybe you should cover that. Well you'd have to issue the girl version. That doesn't make sense. That's a girl song. Maybe you could do a version where it check is talking, singing and you're playing guitar now for the shut the fuck up. There's no way to get away from that songs. It was good. You stepped away that gay and everything's wrong with it. It's a mess. It's a mess. The poor girls and he's like, what's happening there? It's a strange fucking video. I'm thinking it was Judy garland too. That's the crazy thing.

Speaker 6:          02:22:51       She had that look about it right? That innocent 1950s woman look, it's definitely like a wannabe Judy garland thing going on there and they thought they were so sophisticated. They were so much further ahead in the mon goals or American Indians or any people before the 1950s that's 50 years away from the 18 hundreds bitch age of innocence, right? Yeah. And we had separate but equal is that the 1950s was only 50 years away from 1899 I mean that shit is like pioneer days, you know. So young asks society and coke. Yeah, cocaine was in cocaine, cocaine, cocaine in it. Did you know that Coca Cola is still uses coca leaves and they process them to make Coca Cola and they use the cocaine from those coca leaves for medical cocaine. They, there's a company that, that process for them. They're like the biggest producer of medical cocaine we've had.

Speaker 6:          02:23:46       We've been, we've tried to talk about when we're talking about, I talked about the documentary, which ones is a crazy documentary about coca cola and South America being involved in all these like hit like sanctioned hits and fucking like guerrilla warfare and shit down there. What was the name of it? Do you remember the document like the Coca Cola cases or the Coke Cola files and here let's shut it down again. Document documentary, heaven.com money dude. It's all about, it's too much money in coke. How are you going to pass up on that? That's how the CIA got involved. They're like, come on. It's so much money bread down there, man. You got to sell at someone's buying it. Jesus Christ. So I just started doing it. Supply and demand. It is right, right.

Speaker 6:          02:24:25       Illmatic was 94 that's when not started. Yeah. So yeah, but he has first record was like a year or two before that. I called live at the barbecue on main sources album. So that was like 93 I think. Yeah, maybe even 92. Yeah. He's got the most interesting lyrics. It's got really strange lyrics. You know, like that one song from Stillmatic where he plays it in reverse, you know the song like the, the scenario plays out in reverse, isn't it? It's a song about being a gun. Yeah. Yeah. What does that song, I think it's called I'm a gun. Oh really? Something like, no, no, no, no, no, I don't think so. Uh, rewind. It's called reward. Got Yourself a gun is the sound, but isn't the story about being, he has a song as a story about him actually being a gun? Hm. I believe it.

Speaker 6:          02:25:09       No. I don't know. Maybe a nats on that. Stillmatic I don't know. I'm one of his other ones are, all those records are on a hard drive now. So it's like, not even like an album categories, it's just a list of not song. So yeah, that's this. I mean, how many physical cds gets sold now and how many get sold digitally? Um, the people still want this more than you would think. It's pretty dope. I love the artwork. Life Acoustics. Tristan Eaton did all the artwork we just ripped off in a Wes Anderson movie and yeah, but it's beautiful. It's a tribute tribute. Yeah. Yeah. No one's gonna like get confused. I mean, you use the same font. I mean everyone, it's, but it's really cool. I don't think anybody thinks a movie's going to be in my and my CD there. No. And it's a, it's a cool name.

Speaker 6:          02:25:55       I love it. So, uh, but next, um, what about jumping around says jump around on here, man, but we don't really have the drum. That situation worked out here. We can do it without drums. I go, no, no, no. Don't do anything you don't want to do. Not wanting to. I just think it would be a little bit better if we had a drum thing. Worked out main, do whatever you want to do. I want to hear whatever you want to do. Shit, man, I wouldn't want you telling me what Joe's to do. I would forget how they go.

Speaker 9:          02:26:22       By the way. My Twitter handle is right in the banger. Raven. The banger Banger banger. D a. B. A. N. G. E. R. Why did you, why did they call you raven? The Bangor or is that what you call it? I just made it up one day. It's just really high. My last name is like, you know, some breakdown of it means like little raven. Right. And then the Banger, cause like all the famous djs sounded all like Dutch and stuff. And like, yeah, like I would like to yesto yeah, they just have these crazy European names. So I was like, oh, just make it sound like different ideas. Famous djs are, because the famous Tj like Paul Van Dyke or whatever, you know, like

Speaker 6:          02:27:01       Flash, it says your, your Twitter name, you call yourself black beauty.

Speaker 9:          02:27:05       Yeah. My mom want this Guy Dui. We're all getting like a high. And once again, all bad stories start with that. And he was like, well yeah, you're here. It was like, I'm gonna call your hair black beauty man. And so why did you just say all right, because that's what I'm called because you know, I'm just like, fuck it. Fuck yeah, let it name you. We know that's the Brazilian way. Brazilians, they all give themselves like silly nicknames. I used to do a couple where I've heard all the silly nicknames like paid to Pano who was a famous Jujitsu guy. It's apparently like a cartoon, like pay Zau big foot. I was, I've Avatar. Avatar. Yeah, cause I like a ponytail and I'm tall and lanky and shit. That's hilarious. They called you.

Speaker 6:          02:27:51       That's funny. The tree of knowledge. All right. What do you want to do, man? It's up to you. What does that red bands getting down? Don't let him stop him now.

Speaker 2:          02:28:29       Skew or Saudi sweet shoe sandals. He sat that sad with Ferris mallows bay. She stepped inside of me, said, don't ever lie to me. The sound man can be holy in s watch to see if it adds is plead the role booth upon. I stole the sound young and I'm and fucked up and yeah, you won't be loved girl

Speaker 3:          02:29:18       for real

Speaker 2:          02:29:26       now. Down by water while shoe. He, these blue. Now Dan's of ocean worlds. I would have been spoken. See Hills. I would have been so hot. Sour. It's not really been you. Whoa girl, Hazel Brown. She left the sweetest sound. Matches love the way that she lit up. She spoke, she helped ease my pain. She states that she could say until Shit Bro. Shit and false. Some ass out watched it all go. Whoa, Whoa, Whoa, Whoa, Whoa, whoa, Whoa, whoa.

Speaker 6:          02:32:41       Mr Brian Velazco on the keys. Black beauty, black beauty. Give it up. Raven door banger. Stop doing that. So that's a great song. Hey, how was off of a record called eat at Wendy's? And, uh, you're, you're putting this out and then you're going to work on a studio album right now I been, I've been, it's kind of a hip hoppers thing. It's slow going because, um, it's, it's, it's very particular project. It's kind of weird, but it's going to, so the beauty of this is there could be a volume one, volume two, volume three. It's easy to go in the studio and cut the acoustic versions. It's fun too. So yeah. Must be nice to have like things paired down to oh yeah, it makes traveling so easy dude. Oh I'm sure. Right. Do you just show up with a guitar? Like how do you do it?

Speaker 6:          02:33:30       Oh it's three. Just the way we show up here with, but we don't even need to bring this cause most places will have a keyboard for us. Ah, that's nice. Right. It's normally two guitars and three guys. Like if you are in a big band, like a big crazy band, like how much shit did they have? Like let's say like if we got to go full gear, what's a big band? What's a band of travels big like obviously, um, you too. Oh they got semi trucks cause they have at least two, three dimensional show, right? Yeah. I mean they're carrying their own lighting rigs and their own sound systems in their own, you know what I mean? Come on. Does it take to set that shit up the day? Wow. You know, they say Kevin Hart has like a, he's got an acoustic system that he has an explosive system that he has set up for his shows. He shows me his punchlines

Speaker 5:          02:34:18       explosions go off behind the technique. How that goes. How bad asses that. Ooh, that's pretty dope. No one can copy that either. That shits his, that's like, if you want to smash a watermelon with a Sledge Hammer, too late as Gallagher, too late. You know, it's not like playing the drums. There's certain specific things that you're not allowed to repeat if you want to get shot in the dig with like a pool ball. Well like you know, rock stars can do pyrotechnics and they can also, like other rock stars could do power techniques. But there's never been a comedian that does pyrotechnics until Kevin did it. So now that's it. It's only Kevin. Even though he didn't invent pyrotechnics, he owns it.

Speaker 9:          02:34:58       They literally go off on punchline and I will like suck it. Bitch is fucking great. I wish I made even at like a shitty joke. Good. That's cheating. Why'd the chicken cross the road? Because as dick was too long, boom. You just want to see that explosion.

Speaker 5:          02:35:22       Yeah, but he's funny too. So on top of that, I mean that must be a destruction man. It must be destruction. It's a brilliant idea, but I think you've got to do something. If you're going to do 18,000 people with comedy, comedy is supposed to be honestly 200 people. Word Clay never did nothing like that. Thanks clay. Never did. It might have I, you know, we need to ask him, did he ever have explosions? He might've, he had some gigantic, if anybody did it, clay might might've done it. I don't think he had them on punch lines, but I think he might've come out to them or such lines. That kind of wild. Yeah. But yeah, he was, I think he was probably the first comedian to do those kinds of places consistently. I think maybe Steve Martin had done some arenas and Eddie Murphy had done some arenas and Richard Pryor probably did some arenas, but when dice came on the scene, like it was all arenas. Tours. Yeah, he was the first, he was a totally different kind of comedian because he was like a musician. Like people wanted to hear his shit. They wanted to hear the same shit again. Watson, the ball bitch. He was like, I'll do it with him. It was like singing along to freeway

Speaker 9:          02:36:25       was reminisce of like if you, if you remember those old like Monte Python, when they took that on the road, all they wanted to see was the old sketches so they could like sing along to the merely a flesh wound. Flesh. That's funny. Is that what they did? I don't, I'm not even aware of that though. They do famous live like DVD of him Monty python at the Hollywood bowl. It's hilarious.

Speaker 5:          02:36:45       Wow. Well that makes sense. Yeah. Well yeah, I guess

Speaker 9:          02:36:50       I'm a lumberjack and I'm okay and the whole audience to sing in the shit. It's like all they did was the shift from the shows. I'm embarrassed to say I was never a money python fan. Really? I like that. I didn't like it. I just never really watched that. I never was in a band so money by, so in bands he just became a mic. I thought sort of like all these bands nerdy. I think it was a nerdy thing to be into it cause honestly like oh some kids that play dungeons and dragons type and I got involved with them but that's how I found money. Python was three of them kids cause like there was a thing called the quest for the holy grail. That was like a movie. It's such a great man. Oh Man. Money rabbits seen right away. Right away. Yeah. I remember the life of Brian. We are the knights of them.

Speaker 4:          02:37:32       Get us a shrubbery and shrubbery.

Speaker 9:          02:37:36       Watch it now. I need to know. Yeah, I need to see it. Yeah, those guys are brilliant. Life of Brian was Brian one where the hack the guy's arm off. That's fucking a quest for the holy grail with the black night. Come back here. I'm bite your balls off. Compare the holy hand grenade. That's actually hilarious. Branch dudes in the castle. I blow my nose in your general direction. Castle anthrax. It was all the hot naked women in it, so that's a great movie. You gotta just get baked one night and watched.

Speaker 4:          02:38:18       Okay, I'll do it. I will do it. You'll, you'll, well, I just watched that. It was laughing my ass off. It's almost like now though, in 2013 there's too much shit to see. Like there's so many documentaries that I have like on my, on my cue that I need to watch somebody movies that I haven't seen yet. It's almost embarrassing. He's like, you can't catch up. It's almost like there's too much

Speaker 9:          02:38:40       to old shit. I stick to everything I grew up on. Yeah, my wife, my wife always asks me like, you've seen this movie like 500 times. How could you watch it again? I'll be like, cause it's fucking good.

Speaker 4:          02:38:51       Go over Joey Diaz, his houses in 90% chance to outlaw Josey Wales. We be playing that right as you come at Joe and this is the fucking scene. He lays it down. These are my words of life. These are my words of life. He goes up to the fucking Indian, he's on a horse. He's going, look, bitch. Either we're going to fucking work this out or I'm ready to die. What's up now? It's a great as far as the hill, he'll just, he'll be, it'll beyond like at any given time when you come over as hotel room, if it's on TV, he's watching it. Outlaw Josey Wales. I have all the people that I've ever seen. The Ll Josie Wales, I bet Joey d hasn't seen it more than anyone. It's a good movie. It's a great fucking movie. Certain movies that you could see over and over and over and over again.

Speaker 4:          02:39:30       It's good for me. It's the mechanic Charles Bronson's mechanic and hard times number. Hard Times high times. Charles Bronson was a cage fighter. What? Oh yeah, you don't remember. He was a 50 year old fit cage fighter and he would go from town to town. He had this fucking shady manager. He had a cat that he fed milk too and he was this old wirey dude. He was 50 years old when they filmed this shit. See if you pull up the Sierra Knuckle Charles Bronson from hard times and Yo, when he was 50 this mother fucker was chiseled. Okay. This is po before testosterone replacement therapy. This was just the way Charles bombed mentality. He was just doing chin ups and sit ups and shit and eating red meat, drinking milk. Watch

Speaker 9:          02:40:14       this video matter way. Most people look at like Chuck Norris is how I look at Charles Bronson. Oh yeah. Charles Bronson was one of the baddest dudes ever. Look at this

Speaker 11:         02:40:26       old dude and he's just fucking people. Up to 1933 America, people were out of work. Life was as tough as a cheap steak. The writing of the times, no job and no prospects. I look past the next event. A man had to live by his wits. Wilma, man, just start now. He might've been like on motherfucker, dude. Wow. Look how young all by his fists. Columbia pictures. It's like the original every which way, but loose real one. A drifter I love every which way, but loose, but it can't fuck with hard times and they are fighting fisticuffs style. Oh yeah man who spoke so you know why and hit hard. That's how they used to fight when they rode bare knuckle born con man. Well that was at Queens of Mars. Very shitty. Right now I'll do it like this. Who could make a fortune in a day? I propose a toast to the best man I know and lucid. I'm flat broke. I need some money fast. You don't want no trouble. Oh Hey, your dad's speak. Was the hustler easy? I mean, no rules about that Deb, who when they hit her, you ever get scared when you think of, I'm telling you, you can basically do anything. He just didn't know all that other shit yet. They didn't know about leg kicks, you know? No one knew and normally tie back then they did. That's because would have bought with, yeah. Oh love that motherfucking kind of a pool table. Charles Bronson, James Colver, Jill or rather mark fairly. That red knock out terrible,

Speaker 9:          02:42:32       terrible dies. None of that stuff about how they win and stuff like that. Around back then is, I love how now like you know your why I like, you know, I watched that show like occasionally on Onstar. Spartacus, yes. And they'll like have like a hand to hand battle and all of a sudden it's like transitions of Jujitsu rolling into armbars in a choke hold. And it's like, what the fuck fuck Outta here man. Pankration and they had that sort of, it wasn't like that back then. It wasn't, part of it's the way it and whatever. Then the evolution of Jujitsu has changed so much since, uh, the UFC one since 1993. But if you go back to like the old school days with Hixon Gracie, he, they had all the techniques right. They just, it wasn't, the

Speaker 5:          02:43:12       level wasn't as high as it is today, you know, but they're, all the techniques were there, you know, most of them were triangles, arm bars, all that shit's been around since the 30s. But it's just so rare that anybody got like super good at it. The way you see like a, you know, Marcello Garcia or something like that, like the guys that are today or the highest level Jujitsu guys of all time. There's still like Hixon. Gracie is still regarded as the greatest of all time, but he was just such a freak. He was so much better than everybody. He was into some weird zone where like you would talk about everybody like, Oh, this guy's real good, this guy is real good. And then there's Hixon like in, everybody said it, they all agreed. There was no debate. It was no like, yeah, but I think a he Machado is better at bill's, like takes him, that's it.

Speaker 5:          02:43:52       He's the best one, dude. That's forever Shit, you know? But from then on, you know, besides him from then on, basically it's constantly gotten better. So that spark is shit that's, they didn't fight like that. They just didn't have enough time and stay alive long enough to learn how to fight like that. And he died when you're 24 and a fucking store in your stomach. You know the, the idea that you knew how to transition to a triangle and enroll for normal Plata and that takes side control. Full mounds, arm choke, skipped to the side bitch. You don't know how to do that. Yeah. Yeah, totally. Totally. That didn't happen back then. But it's funny when they used to like, like I wonder like I used to watch deadwood but he used to bum me out when they swelled so much cause I'm like I can't believe that they swore that much back then cause he didn't swear that much in like the 50s and the 60s like why am I supposed to believe this war that much in the 18 hundreds like you sure is that real? I don't know if that's real.

