Speaker 1:          00:00:03       And doing it again, I can.

Speaker 8:          02:14:03       unbelievable desire to fuck but yet fucking makes people. And you can fuck when you're like 13, but we don't have to run from Jaguars everyday when we know we're not getting chased down by crocodiles. We don't need this many people. Well, not only do you not need this many people, as my other argument for being pro choice and is, is that you're going to take care of that kid. You're going to take care of that child who just got pregnant by, by, by a woman who has no money. Who doesn't want that baby? She can't take care of it. Are you going to or you can have another ward of the state or somebody who doesn't get any attention or somebody doesn't have any resources. We've got to separate the fact that fucking makes a. makes a person. You're getting crazy. We've got to get to the heart of this.

Speaker 8:          02:14:38       We gotta we gotta figure out a way. So you make a person through a very complicated process. What about birth control? Well, that could fuck up your body. You know, for women, they take pills that essentially trick their body and thinking they're pregnant all the time. That can't be good. Yeah. That condoms also real real and everything. Gross, disgusting things such stupid thing. Tomorrow I'm having that Peter Duesberg guy on the podcast. He's the guy that believes that a HIV doesn't cause aids. It's all people that are doing drugs. He said this, it's really almost untenable. Science would be like, wow. Yeah, well that's why I'm interested to see how he, how you, you know, figures that end to. The problem is that they're not doing drugs and there wasting away of HIV. So I think the Africa thing though, apparently they're not even getting tested for HIV, they're there, they have aids and that could be a variety of things including poor nutrition.

Speaker 8:          02:15:30       I think that's the argument there is that the actual testing and this guy is ignoring a lot of the data on that. We're gonna find out, I don't know, like you want to do it with me going to do it when really tomorrow, tomorrow at 3:00 here. Yeah. Um, I'd like to come and listen to them but to 2:00, 2:00, come and listen. Please do come and listen to and sit in. Right? You too, please. All right. I mean who knows, cause my, this is just uh, look, I, I read about this guy's position a long time ago and I thought it was fascinating. I've read a bunch of articles, but what bothers me about a guy like this is very simple and I'll bring it up to them. I watched a lot of people die in New York. I watched them have it with my own eyes without medication.

Speaker 8:          02:16:10       This is before they had magic medication. This is one where they had, they had act and I watched them all dot. Yeah, that was one of the main and I watched him die in a very humiliating and a very terrible way. Do you know that act is a cancer medication that they stopped giving the chemo patients because it was killing them quicker than not having. Well, I don't know, but I do know that a lot of these people went the alternative route and everything else. I know a couple of people that stopped doing it and then along came a guy I believe by the name of David Ho who was a scientist who was man of the year Time Magazine's man of the year who invented a little something called protease inhibitors. Protease inhibitors make the cell wall the the I guess the helper t cell, very slick.

Speaker 8:          02:16:46       They covered coated with a teflon so that the virus cannot latch onto that sail. It's gooey and so what happens is with protease inhibitors now you have people who are HIV positive and used to be a death sentence. Right? I can remember it like it was yesterday and I watched it happen and now you get people who are HIV positive. I know several who treat it like it's diabetes and in fact now when you get HIV, a lot of doctors will say, hey, good news. This could be diabetes, will keep you alive for the next 30 years on protease inhibitors. That's a miracle. These people that got HIV, do any of them engage in illicit drug use? Some of them do. Some of them. Some of them do. I believe. What duesberg point is that the only reason why the HIV wasn't fought off by their immune system was that their immune system was destroyed by the use of drugs, meth, emile nitrates, bunch of different things.

Speaker 8:          02:17:40       I'm going to ask him about why wanting rica is talks about and the bulk of the science is that the reason that it never became a white European disease. Why? Why didn't white men, straight men get it, but a lot of them got in Africa. Why was it a heterosexual disease in Africa? Why was it not a heterosexual disease in the Middle East and in Europe and in America? Why? Well, they just isolated a gene that you, if you are of northern European, Middle Eastern, north African heritage, you have a gene that saved you from the black plagues of that hit Europe enroll to all, all the Fertile Crescent. You have a gene. I can't remember the name of the gene. That gene makes you very resistant to the HIV virus to contracting it through regular sex. The only straight men for the most part, if you look at the army statistics and stuff, who ca who got HIV were guys who were intravenous drug users using infected needles and they were putting it into directly into their bloodstream.

Speaker 8:          02:18:44       The gay men that survived the epidemic. We're men who are doing the fucking not getting fucked. Those were the men that survived the epidemic because it was a. let me tell you, it aids in the eighties and the early nineties devastated the gay community, devastated it. It was a war zone. I walked those men walk around. I've watched listening. What you're saying, you're essentially supporting this guy's theory. No, I'm not saying that the people that got at world intravenous drug users. No, I'm not saying that. I'm saying that to get to get to get you. You ain't mainly intruded with the people that were very. They're very resilient physically because they had excellent genes that they've gotten from surviving from the black plague. The black plague. Yes, but it would be very strong unless. Unless you were getting. You were getting injected into your body directly through the semen, through your anus or or through.

Speaker 8:          02:19:37       Yes, I did because I just think it's funny that I'm saying I sound like a scientist, so I'm so, so about this guy who was the University of California biologist, a tenured professor. Why would he he not know this that you're telling what your title. I don't know if he knows it, but I'm going to bring it up to him and the other thing that I'm going to ask Duesberg as this, hey, how come the majority of scientists all over the world and all the money that goes into these protease inhibitors, protease inhibitors, work, they seem to work and why are people staying alive when I remember them dying? Well, what's in that tool? Let's let him let him answer. Those were fucking proposing seems every time I meet with these guys, they're the only guy I've every other scientists must be, you know, I don't know. Have you ever looked up like how many scientists don't believe HIV causes AIDS?

Speaker 8:          02:20:24       Because. Let's go with that right now. Let's take a guest. Seven. Okay. How many scientists to this? I just know that the credible, credible journalists and people who really follow this stuff. I'm including people like Clinton and and like that. Clinton. Yeah. Bill Clinton and Linda did a lot of work for AIDS in Africa. A great deal of sort of George go over there and fuck up a storm water to be all dirty, dirty, slick willie. I'm going to help you out. Will you go to a aids and how many scientists don't believe HIV causes aids and it's Duesberg on aids article in spin. That's the first fucking thing that comes up. Yeah. Well, um, I don't really. My Endo an HIV and aids, I have a feeling my room would be a lot fuller. Kary Mullis

Speaker 5:          02:21:13       hm. I think. Hm.

Speaker 8:          02:21:19       Either way if you get HIV, it's a very serious diagnosis. This is what Carrie. Carrie Moss is a, a Nobel prize winning scientist and uh, he's um, he's also always an Lsd user. He created a, the invention of PCR test. You know,

Speaker 8:          02:21:35       he won the prize for chemistry and a crazy smart people out there. Yeah, absolutely. But what he says is everyone in the field knows that there's at least some dissension over whether there's evidence that HIV is the probable cause of aids. There somewhere in the literature that there scientific evidence presented that HIV is the probable cause of aids. And if there is, where is it? Who should be attributed with the scientific evidence supporting that statement. HIV is a probable cause of a tasting. This guy, the fact that he just said that, if that's, if that's what you did, say. Okay. By the way, stop. Stop, stop, stop. Stop. Nineteen 94. Oh, okay. Okay. Thank you. I was like, I had to scroll up to the top. We're going to shit all over the guy looking at it like I already figured it, but meanwhile he's dead.

Speaker 8:          02:22:19       He's like, he can't even defend himself. Does HIV really cause aids if you just. Google does HIV. Really it and most people think that argument's been put to put to rest in 2012. Well, yeah. This is 1994. It seems like a lot of people had some questions about it. I'll make their names. I remember somebody they thought age was in mosquitoes. It was about the same time period isn't somebody will make their name by basically being controversial. Well, I'm, I'm curious, cynical, but I'm curious if there's any, anything that he's going to say that's gonna Rattle that opinion of yours. Uh, obviously this guy has, he's been pushing this for a long, long time. I don't know if he's the only one we'll find out from him, but in 1993 he had an article in Spin magazine. That was the first one that I read that addressed the whole age thing and that was right after my first aids.

Speaker 8:          02:23:10       You get anybody on the entire science on the other side, on the phone? No, but you know what, we'll, we'll, we'll eventually. It was hard getting him in here in the first place. I didn't bring him in here for a debate, you know, so we kind of to the tricky thing when people said, why don't you go after people when they were to show you something stupid first of all, because I don't want to be mean. And second of all, I want them to express themselves to the fullest extent of their possibilities. I don't, I don't want to suppress. I don't, you know, I may disagree with someone on some things and we may disagree and argue about stuff on the podcast, but in order to find out what someone really believes about something, sometimes you have to not question it so much as just sort of probe and, and let them keep going and people are like, why don't you call them out on that?

Speaker 8:          02:23:51       I'm like, you know, that's bullshit. And like I want to hear what their logic is. I want to hear what their thought process when I have such strong political. Like I'll get, I'll get heated if you start talking about how, you know, you can start giving me left wing solutions to like economic solutions to things. I get overheated and bunched up, but if we had socialism but, but at the same time it just helped everybody. I went hunting and going hunting. I had no idea that hunting with have a political effect on me politically. Like it was very interesting. What were you go if you, if you. Sometimes I have to check myself and go, how much of this is attitude and how I've been raised to actually really stopping and looking at fat. You have to always check yourself because you know, if you're a change, what's the hunting thing that changed?

Speaker 8:          02:24:34       Like I just, I just have, I have, I have a new found respect for, for that aspect of regulation and strong laws that make it very clear that you can't and not you. You can't trust hunters to be libertarian about their hunting practices necessarily because you get a lot of people out there in this world that a lot of hunters are vastly. Vast. Majority of real hunters are very responsible, but you get a lot of jerk offs who go out there and just want a machine gun. And I think that the hunters, um, I think the anti hunting people ultimately the sentiment, the idea behind what they're saying, what offends them about hunting is noble. Cause I think what they're trying to do is protect animals from ruthless people. And I think that there are of the mind that we can get along in harmony with nature.

Speaker 8:          02:25:20       And that they know that in their own personal experiences, they've had beautiful moments that they've seen wildlife and they didn't have to kill it. So I think ultimately know, like when you trap an animal and you're making a fur coat and that animal writhing in a, in a trap, I wouldn't want to fucking see that. I went to Portugal and walks to both fight. I was, I've never rooted for a fucking human being to die so, so hard in my life. They were like, spearing this bull. He was in pain. They rub its eyes with a hot peppers so it can't see. And every time they had to pick a piccadilly would stick those fucking spirits and it's back. The thing would jump and ride and pain. And I was like, can some. I hope one of these humans fucking dies. And this ring that I had done, I watched these guys fucking like, let themselves get Gordon.

Speaker 8:          02:26:02       There were the toughest motherfuckers on the planet that's not gone to the bull. Didn't have a sharp horns. And they'd let these bullets just fucking hit them and throw them over their backs. And they do flips in there. There were a total bad asses, but, but either way, I just didn't want to see an animal suffering aspect of human nature. I didn't want to see a fucking a fucking a defenseless animal rive in pain. I didn't like that shit. No, it's disgusting. But you know, so we have to then. Then the argument is like, okay, well then you gotta look at the vegetarian or Vegan argument, you know, will there, they're trying to be as free of this negative Karma of murdering. Shouldn't say murder because he gets murdered was only prism as a form of religion in some ways. Right? I mean it seems to be sort of.

Speaker 8:          02:26:43       I mean it's a philosophy, but the, my point is like how does, how does one manage the animals done? If we get to that point where no one's eating any animals, what are you going to do? You're going to castrate them. What are you going to do about the deer and the wild, what are you going to do? We're going to have a real issue and that's something that no one needs to mean. We have to grow as much animal protein first of all, right. You, it doesn't matter. What are you going to do with the feed? I don't think you'd be able to feed as many people. So would you just let the cows starve to death and cows go extinct? Or would you manage a population of them that you never bred? Are you suppose you'd stopped breathing when she let them go wild.

Speaker 8:          02:27:20       And if you did, they wouldn't have any natural predators. They did the big question that like, like fucking awesome. Uh, Ray Kurzweil says, listen, we're very, very soon you're going to be, we're going to be cloning a meat that has no animal suffering. We're going to be cloning, meet with no central nervous system. Kind of taste like shit. Well, no, because we can clone the best tasting meat in the world if you've got in a factory. So I'm just saying the future is going to be a far a meat farm. You ever see like salmon that you buy that hasn't been dyed pink. Really? See what those. Yes. Weak ass prison bitch salmon. Yeah. But what what I'm saying is that at the end of the day, I think technology is going to give you the greatest tasting, everything without animal suffering and meat's going to be just like anything else.

Speaker 8:          02:28:03       It's going to be you're gonna buy a meat ball that was grown in some fucking farm. Wonder if it's possible to get the subtle nuances of legere good grass fed steak. I one, if you can get that or for wonder if it's going to be like sorta like grape gum where it's not really grape gum, but you call it grape gum flavors. Grape. Oh, I love group. It doesn't say anything. That's why I like game meat so much. You can't compete with that fucking game. Not Game Me. Brian Endgame. I'm like grape soda? There's grape soda. Taste anything like a grape? No, not at all. It's like the color, maybe Welch's grape juice. It's about us. That's real grape juice. They're like sweet. But yeah, but like think about like, what's the difference between like grape Hubba, bubba bubble gum and like an actual great. But how do you even know that that's a great. You know, it's a great because you've accepted this as the substitute grape flavor, even though it's not nothing great blank about it. You call it.

Speaker 3:          02:28:55       That's great flavor. You know, that's what stakes going to be like. We're going to get used to that. We're going to use this artificial non, you know, non biological or they'll be able to figure out a way to put all those nuances and when they do the first people that either they're going to get cancer the like immediately I wonder. It seems like how long can you keep tricking the system? Well, the only way we're going to feed as many people as we do with as we, as we get into nine, 10 billion people in the century is with genetically modified foods. You're not doing any other 10 billion. You have to figure out a way to make rice more nutritious. That's what golden rice product, that golden rice project is all about. I guess getting more vitamin a into rice and, and, and making it way more nutritious to make sure that more people breed. So we have even more people. Well, that's very important, isn't the most important thing to figure out how to make these places less poor, you know, like when you look at all the poverty in the world and all of these people that are in these incredibly over populated areas like how does one ever managed the human animal, the human race from the ground up,

Speaker 8:          02:30:01       the lowest form growing far more food per hectare than we ever have, right? With technology and making it more nutrient dense. So the idea is like if you create staples of crops like rice, that is, that is as nutritious as a root vegetable, like a sweet potato. So your, your thing is to take these people that live in these poor places and make them farmers. No, actually you'll need less farmers and you'll need less pesticides because what you'll do is you're genetically modified these foods too and they're already doing this to resist a, the need for artificial pesticides because they have built in resistance to the pests that are indigenous to that area. And that's what. That's what this is all about. Genetically modified foods gets such a bad rap, but that's the future. We're not gonna feed people without it really. Do you think that the thing with a, with taking these genetically modified foods and copywriting them and making sure that people have that, you know, making sure the seeds can't grow suicide's not the answer to that.

Speaker 8:          02:30:59       When it starts becoming a commodity, it gets a little weird. You know? It has been. I think it's just becoming more complicated. Trademark life. It's a really interesting question though because like you're right if you, if you. But if you spend a lot of time in a laboratory and you create a, the most nutritious rice kernel in the world that people can live on just rice. Well then if that was all your hard work, I guess you should own the rights to the seed. Right? Well maybe you should just get a cut forever. Yeah, because because otherwise people wouldn't be the incentive to develop that is not only just a humanitarian one, but it's also a profit motive. Senator Incentive. That's why you've put billions of dollars into research to recoup it. Cross pollination and shit like that, like the issues that they deal with with farmers living in nearby communities that don't have to.

Speaker 8:          02:31:43       I them. I'd say it's an issue becoming. I don't know how you fight the inevitable rise of technology though. You and I talk about it all the time. You can. I, I just don't think that we're going to, like I said, I think that the crops have continued. Farmers from the beginning of time have done everything they can to make their particular crop more nutritious, more calorie rich, more dense, more energy efficient and also lasts longer last longer and need less water. Need less taste the sides all that. Well, yeah. I mean whatever we can, whatever. It doesn't matter. They just trying to engineer and durability and who knows like as far as like the vitamin content of one of those payless tomatoes at the marketplace. So like you, you know, the are people in the marketplace that want a tomato that's going to taste good as well.

Speaker 8:          02:32:26       So there's an incentive to create a good tasting tomato. You know? Have you ever really had a real tomato though? Like a jersey. They so good. That's why it's a fruit. Like when you went to La and you see the fruits that are grown in manure than tomatoes. Forget it. That's why I eat organically because I'm such a great. Even organically. I mean the only thing that comes closest, like heirloom tomatoes, you know what they say the best lamb is, you know where it comes from? Where Iraq. Really? Yeah. Iraq, it they say is the sweetest tasting land because they eat a certain kind of grass there and it's, you know, it's Mesopotamia. They've been eaten goat and land there from the beginning of time. You know? It's supposed to be insanely good. Yak Really? Supposed to be delicious too. Fattening. I bet it apparently. What Ma, what they eat to make it taste so good.

Speaker 8:          02:33:09       Some moss that grows way the fuck up there that you can't even grow down here, so you can't make them in a farm. You can't like make a yak farm and have them eat this shit. Dirty animal, man. They can go problem. They don't need sleeping bags. It's supposed to be delicious. Wow. Yak, Yak, Yak. You'll eat the shit out of a Yak. I will. I'll jerk it too. I was watching Rinella show. They went hunting for, I think it's called a tarp. Some some fucking crazy looking at wookie animal or something or some horn wookie. Goat. Demon thing in New Zealand. It was nuts. They were up in the middle of this fucking like they have to cross this glacial river. We're a though the runoff from the glacier. They had to shot an animal and the other side so they had to cross it like what we did is like a really safe hunt for that guy.

Speaker 8:          02:33:58       Like he, he, he does some wild shit. Man Rinella. Stabbing pigs. Ed had a episode, the same place in New Zealand where they hold the pigs down with a dog and then they stab it with a knife to kill it. Do you want to know what might the history on my phone, my mobile phone as you want. You want to to the district. This is so fucking ridiculous. It starts with ostrich. Chuck Taylors, Rockstar, big white Dick, muscular perfection. Ice Cube, seven, seven, eight. Area Code Arnold Schwarzenegger. Cool hats, Atlanta to Fort Lauderdale, 508 area code, toe walkers, billings, Montana, couches, slam dunk. Hard workouts. Andy cause l comedian. I want to know who he was. I heard his name. Cool. T shirt design and best breakfast in Fort Lauderdale. Yeah, no. If you were working as a ceo of an important company and they found that the big white Dick, they'd be like, wait a minute, what the fuck is this?

Speaker 8:          02:34:53       But I wanted to send a big white Dick to a friend of mine. I was like, hope you're having a great day. And I just said that because I'm fucking. I'm 12. You can't have that kind of sense of humor if you work in corporate America. No, that's the thing to poisons. Most people, men suppression, daily suppression all day having to fit a mold, work in some fucking stupid office somewhere that's got to be life sapping. I would agree. The idea that one of the problems with government is that there's no passion in most levels of government. They're just jobs, you know, and the real problem with jobs as people want to get them and they want that money and they want to keep them and they never say, you know what? This job is just not really necessary and that the way to best serve the American people would be to fucking get rid of this job, but this is what I need.

Speaker 8:          02:35:35       It becomes a personal issue that sort of gets in the way of the greater good of what you're trying to achieve. You're not getting rid of a foot when you. That's the problem with passing a law. You're going to get a lot of vested interests around that law. You're not getting rid of that law because then people lose their jobs. Okay, so that's the other thing. Remember when you pass a law, cottage industry grows up around it. That's why. That's why Washington never gets rid of. Once they pass a law, like the, the anti marijuana laws you get, you make illegal and you're going to have a lot of people out of a job. So yeah, there's a lot of money behind trying to marijuana illegal and there was something that I retweeted, I think yesterday that was listing all the different people that are involved in working hard to keep marijuana illegal.

Speaker 8:          02:36:25       It's so annoying. Read that Shit. It just just makes you nuts. God. Check this out. There's already been a voter machines going crazy. Look at this video. It's switching people's votes from Obama to seeing that switches it. I'm not surprised that they, you know, they never fixed that shit. These fucking Republicans on all these voting machines, they, they showed in that hacking democracy documentary that you could fix them so that they could change the vote. That's where it's ridiculous. Fucking scan. This isn't a real life we're living. It's all fake. We're living in a goddamn simulation. Problem is you've got to kind of care and you got to be informed. Otherwise sources will take your freedom away from it. If they're already taking it with differences them. You got to figure out a way to fight back, you know? Have you seen these this way? Have you seen the, the Chinese practice of eating eggs boiled in the urine of young boys? Sure. Haven't. I sure haven't seen that. But please google that.

Speaker 8:          02:37:26       Chinese people eat eggs boiled in the urine of Virgin Boys. No, he didn't look at this yesterday. I found that someone tweeted this out, my twitter timeline, pocus horseshoe. If you look at my twitter timeline, they, uh, they, they have young boys, they have them pee and then they boil eggs in this young boy p and a. They eat it all day. They say it keeps them healthy and it's great for the skin. It's like a super, like common, delicate shrink. The actual urine. No, they eat the eggs after it's been boiled and little kid pis, but it has to be like virgin boys I guess once to start fucking becomes problematic. Do they boiled their hard, boil it and they actually crack the egg shell. So the urine seeps into the egg itself. Not just heats it up from the outside, seeps in and simmers for hours and hours and piss would say post human beings 22 hours ago.

Speaker 8:          02:38:18       Humans are dumb. Hey, do you have a guy? You know, I retweeted it. A dude named Adrian frigidaire refrigerator over there. Don't get it. We're going to wrap this up soon and grabbed me one to um, I don't think there's anything in there. Dude. There's nothing in your fridge up. Mountain dew, whatever it is in Cannes. We should stop at Costco, which is fucking stock this place full. Want to go to Cosco letter? I do all the time. It just goes really fast. Yeah, but because you bring in slots in here and they get thirsty sucking cock. So it's what it is. That's what I heard. So true. I'm not finding this because you're retarded. Come on dude. Sitting there from. I told you, retweet. Retweet from a dude named Adrian a fifth of November. I got 24 hours ago now.

Speaker 8:          02:39:06       Yeah. What I love about you is that you have used your influence for nothing, but I'm sorry. It's Wilford Lee. That's the guy's name. Sorry. Wilford Lee is the guy tweeted it to me on November fifth. No, it was 22 hours ago. I was looking at something else. Alright, here we go. You see it? Yeah. Pull this up. This is going to be so ridiculous. So what we're saying, where were you thinking before? I love that you have, as your influence has grown, you've, you've done nothing but take care of your friends and people around you and trying to make the world a better place. Well, you know what? That world a better place thing I'd done or know about that. Well, no, you try to look at that. Oh, there we go and boil urine of young boys. Preferably those below the age of 10. Hence the name virgin boy eggs, popular springtime snacking touted for its health benefits. We have to be very careful about going to war with these people. It's like somebody came up with a gimmick to sell eggs and, and uh, it's just a smart entrepreneur. Some guy in the corner 100,000 years ago,

Speaker 9:          02:40:15       teaching them what's. It takes a full day to prepare the snacks, starting off with collecting urine from boys' toilets. Then the extra soaked and boiled in pots of urine after which the shells are cracked and the extra simmered in the same urine for hours. Those who snack on the exit, they helped decrease body heat and promote better blood circulation. That can make one feel reinvigorated. No. Well my God, I already do this by eating. These eggs will not have any pain or waist legs and joints. Also you'll have more energy when you do work on what is the folks in Don young are convinced. What would you like eating these people like it because they have this tradition in Dong Yang. Did these eggs and nourishment for our health and that it would help prevent things like getting a code. I don't believe in this at all. I don't eat.

Speaker 10:         02:41:14       Medical experts have mixed reviews about the health benefits and some worn of sanitary issues in this unique delicacy in the doctor world. Declaring the virgin boy x as an intangible cultural heritage. Huh? You know what's so funny? This is probably a huge troll. Like somebody put that on your message board. Like what if it's just like the onion for China.

Speaker 7:          02:41:39       It could be, yeah, they could have just had a picture of simmering eggs and had a picture of the stalls and pretended they pitched this. Go to Venice, California right now and find a group of people that are boiling eggs and fucking young boy piss you think so. Our old man piss because somebody came up with this idea. Yeah. I think we've always boiled shit and piss and at the same reason, you know, you people would eat like, I don't like it. They like why virgins are so prized as your Chinese people do a lot of freaky shit with eggs. Like one of the things I'm fearful or 100 year old eggs. Eggs. Yeah. Baloo guys.

Speaker 7:          02:42:18       It's um, an egg that's like fermented and black and it looks like Jelly. Yeah. We used to serve them to people on fear factor. Like it's disgusting, but they were like a real delicacy in Chinese. When I was 14 years old, back when China was comments, I went to the mainland, I spoke two weeks. Their family. When you look at the bus, all you saw, I looked, turned around. I saw back then most people in blue uniforms on bicycles, Beijing was just one ballou. See, oh, it was just a communist country. Everybody wore the exact same blue outfit. I wore a rode bicycles. Was it freaky? It was the freakiest thing I've ever seen in my life. No advertisements. Think about that. No advertising, no billboards, no advertisements. And Russia was the same way. I went to Russia when it was communist. There was no, no advertising.

Speaker 7:          02:43:03       So you go and you go, why is everything so gray? Well, there's no advertising. There is no, there is no color. So you don't have people saying by this that you weren't allowed to do that. Everything was run by the state. Uh, restaurants were these huge communal, sort of a huge communal affairs. So when you go to a restaurant, do you have to pay anything? Like how that were? Very, very little. Everybody pays the same. Right? But when you pay like one beer, that was one national beer, there was one, you know, uh, it was, everything was so uniform. I went to the pecan pagodas. I went to the, you know the, there are very few Buddhist shrines that were really survived the communist revolution. Have you been back since? No, no. I mean chat Beijing now is completely different, but I went. I was in Russia in 1985 in China.

Speaker 7:          02:43:48       China has more billionaires than anywhere else in the world. They buy buicks. Yeah. They really liked buicks and yet they still have a very various oppressive government, but they, the Chinese have always. The one thing that's that really is really unique to China is that a huge area of land speaks one language, mandarin, Chinese and that there's almost no other example like that in the world. However, that's because the Yangtze and the Yellow River, we're able to bring ideas and commerce and language to all different parts of China and so China became this uniform powerhouses result of that. What's more fascinating to me is how they all look Chinese. That's the credit. That's the other thing that you want to talk about, like a really fast area, a credible size place, and they all share a very similar gene pool. I mean at least visually cause of the anxiety and Yellow River, there was so much trade knew you were able to get in.

Speaker 7:          02:44:41       We were able to. Food production, domestication of animals created huge city centers and it concentrated a great deal of people in one area. I love how when you see northern Russia and Siberia, it gets really Chinese looking. While I was in. I was focused on and if you talk to people from Pakistan and Kyrgyzstan, which are the areas that kind of like, right. We're part of Russia used to be. They're all, they're all, they look very, very high cheekbones, very Asian. They look more Mongol. They're tall, usually strong looking, you know, broad people with these high cheekbones. If you see something like that, doesn't it kind of like put you in touch with history? Like you start thinking about like the gang is gone, Eric yourself out. If you really want to freak out and you want to see specimens of human beings, go to the fucking Sudan, go to Kenya and go take a look at the Maasai warriors.

Speaker 7:          02:45:30       Just go take a look. If you want to know where the fuck guys like Scottie Pippen and Michael Jordan come from, I don't care. To me it says they are the, they are these beautiful, these fucking six foot seven, seven foot people in the span. These, these, these, these, they live a nomadic lifestyle. Seven feet, no problem. Athletic is all fucking get out wide and big head's the size of basketballs. You're like, where the fuck did you come from? It is a different gene pool. And how did that one gene pool rise? How did the, how did the pygmies in the Congo arise? You know, there, there, there are a lot of theories on the biology of why people do it, but a lot of it had to do with um, like how isolated that gene pool was at. For example, Paul Pan Asian people, very isolated for a long period of time. Uh, you know, Hawaii and, and, and especially Tonga and Samoa, I mean, up until I think it was the late 17, early 18 hundreds, they'd never been contacted by white people.

Speaker 3:          02:46:29       You know what's interesting about islands is that animals tend to dwarf on islands, but lizards tend to grow towards giant. So yeah, that's why the Komodo dragons became like enormous lizard. They were isolated to the Komodo islands, but like pygmy elephants and shit like that, or they. Yeah, in the sense that, yeah, the I'm not enough. The hobbit people, those, a Homo Floresiensis, those little tiny human beings that lived alongside people. That's also like an episode of like an island. Dwarfism. I don't know. Yeah, I wonder though why, why was it a form of natural selection where they grow so tall? People like me because Sudans ridiculous fight off lines and shit and the big ones survived. And the Masai Mara are fucking tall athletic that the Masa just broke the fucking half mile record in the Olympics this year. World record ran like fucking destroyed. Everybody. Well that guy, you know, comparing them.

Speaker 3:          02:47:22       That's the conversation we were having earlier with like some fucking fat Doughy Guy, Gabriel Iglesias guy and you know, like physically if they're going to get an MMA fight, one of them is cheating already. I got a shitty. I got, I didn't win the genetic lottery and I'm okay to fail. I didn't fail either. I'm all right, but when I look at fucking. Yeah, I got to 70. You look at these fucking Simone's with their back of their arms, those big elbows and their knees. Mark Hunt, looking legs, command five minutes the. Have you ever seen relentless enemies? No. It's a documentary on this one area of Africa. We're a 100 years, no relentless enemy and this the lines, the giant lines. There's an area where the river changed course 100 years ago and it's stranded all these lions and water buffalo in this one area, and because the lines don't have any other way other than water buffalo, pull that up Brian.

Speaker 3:          02:48:20       Just pull up a video will end with this. Blow your fucking socks off. They become hoke sized lines. The female lions are as large as regular mail, 500 pound. They're enormous muscular, unbelievably muscular because all they eat is water buffalo. These giant fucking buffaloes that they need like seven or eight of them to take on, so they jump on their back and one of them goes underneath and they try to drag this thing down. The water buffaloes to search for a relentless enemies lion versus water buffalo. It's fucking incredible. And they look like CGI lions. They looked like the hulk, like they have giant muscles. I can't believe you don't know about this. No. How do I not know about this? You're gonna Jack off to this night is going to end your night. Do you? Have you seen the eye of the sparrow, the bad lip sinking of the presidential debate? What does that. This.

Speaker 6:          02:49:07       You can't. You have to. We have to watch that before you take off. The higher the speed, you do relentless enemy's relentless. Relentless enemies. Did you just write whether Buffalo, what the fuck did you? Oh, it's so hard to see. It's so blurry. Why does it? They, they. They can't make one of those things. It looks like a monitor. What'd you say about water? Buffalo? Just relentless enemies. That's it. Click on that. These fucking things. You got wait till you see what they look like.

Speaker 5:          02:49:44       I think this is the trailer for the movie. What happened?

Speaker 3:          02:49:51       Fucking windows. That's cool. That's good. Good resolution. They bribed me to buy a flat screen TV. We get this water. Buffalo Jesus Christ. Imagine having to eat that thing. That's all you can eat and wait till you sweat these fucking lions. Dude, is this over a course of 100 years, so it's really changing the way they look about how animals and tapped.

Speaker 5:          02:50:17       Okay. These things. That's death.

Speaker 3:          02:50:21       Look at the muscles on the way to use the muscles in the fucking females, man mean you never seen anything like that. They're swimming out to get this water buffalo. They can't

Speaker 5:          02:50:29       look at that. All predators pray. Jeremy Irons.

Speaker 3:          02:50:36       We'll get the size of these fucking lines. That's a smaller one.

Speaker 5:          02:50:41       Shit. Oh my God. This. Kiss me. What are you doing, Brian? Subtler bitch. Look at how they have to fight these things. There's several. There's several. Several

Speaker 3:          02:51:06       different prides on this island and not all of them are oversized. It's interesting. If we saw that some of them are regular sized. Can I see that relentless enemies get it on Netflix. I'm sure. I'm sure it's available on Amazon. Go Buy. Go to [inaudible] dot com and buy it from there. And Brian makes money. We use quickly so I can show Joe just sparrow. Podcast is almost over time. We turn into a pumpkin and two minutes, two seconds. Come see me at helium Gemelli. Go see him or come see me and joey ideas in San Diego at the elbow with theater. Boom. Hold on. Saturday night. This Saturday night. Oh Man, I'm in fucking dead punch. Ladies and gentlemen, you're on the east coast. Come see me and helium and I'll tell you all about joe wrote. I got loose in San Francisco, knocked the Dixon to the dirt and Seattle spirit. Eyes of the sparrow. Can I have the sparrow? Seattle. So fun that Seattle's great. So you just didn't see how I just did. The more smart people, they get it and love it. I love it. It's just dreary as fuck

Speaker 8:          02:52:06       up there, but they enjoy the shit out of a show. So dreary though. Sos Canada. But if they, they're the greatest audiences. Vancouver's not as dreary scooper and can't wait. What are you doing in Vancouver? You do theaters. I love Vancouver. What are you going to do? Comedy Mix. I'm going to do comedy and that place is great. Duncan trussell just sold that out. We tweeted about it and he sold it out in one day so that the whole weekend. It's great. What are we watching here? No, no, no, no, no, no, no, no.

Speaker 6:          02:52:30       What do you. Don't let him Google on its own. You've got to tell him. What the fuck are you going to see a castle sparrow. Bad. Bad lip sinking that lives there. They're right there. The second one, watch this.

