Speaker 1:          00:00:00       And three, two, one. No.
Speaker 2:          01:49:26       And when Shit like this where people were doing things in the comments, it's almost impossible to check. Yeah. I mean it's just, cause they're youtube comments are one of the rare free range sort of like unchecked message boards in the world. I'm sure I'll find out later. Read it. Don't read it Bro. Who is this fat fuck? He's not even a black Valerie. Yeah. Yeah. Why is he here? Who is that dope? Read it. Yeah. Yeah, yeah. Um, I wonder if there's ever going to be a time where that is impossible, where like these child pedophile rings, they can figure out a way to snuff all that out. I'm, I'm harder now than ever before. I'm imagining. It's very tough and it's tough I think because so few people want to believe that it's a problem in the way that it is, right? Because there's good people in the world that don't think these things are issues.

Speaker 2:          01:50:18       So I think there's the political will isn't there because people don't, aren't really, they don't understand that it's, you know, and then the people that are doing these things are very wealthy, powerful people, and they have a lot of control and they can kind of cover their tracks. If they're were all wealthy on all empower, poor pedophile, you're not going to a ring. What are you doing? You snatching some kid, oh, I know it's bad. But if you're rich, pedophile, it's a nicer experience. It's like you go on vacation versus me going on vacation, you go on vacation. It's a nice experience. I go on vacation, you know, it's fine. Sandals in The Bahamas, not even no sales where you go in the cabin or something in the forest. You know what's crazy about all of us when you're talking about like child molesters and stuff like that, which crazy is the Catholic church is still around and still they're catching people left and right when it's known for it.

Speaker 2:          01:51:12       There's no more, no, nothing is more synonymous with child molesting. Then the Catholic church. That is the number one thing. You were raised Catholic. I was raised Catholic. I was never molested. I was raised Catholic. Um, you got lucky, Huh? I was lucky. I was fake chem labs Kat. We're all fit. This Catholic is fake. It's, it's stuffed shells. It's a nice dinner. It's five fishes once a year. It's like no one cares. No one in a Catholic church cares. If you turn around to the guy next to you though, is this bull shit. They'll go shut up. I said I'm a bit about it. I don't understand the suicide bombers cause I was raised Catholic. Right. And no one is in the Catholic Church believes in it that much. We like nice buildings, Catholic suicide bombers, and be like, you go first. Yeah. You go for, I'll be over here.

Speaker 2:          01:51:57       Do it together. Ready, set, go. Are you still here? Yeah, it's our flux. Nice architecture. It's beautiful. It's great. It's nice. It's fun. I don't know what's going on in them. There's incense going around. This is the mystery of faith. Oh good. I was talking with Bob about this recently about church has some good qualities and one of the things that it has is it makes you feel like, you know, it's like a community thing. You sit down and you get a chance to assess yourself and your life and sort of reaffirm your moral guidance in your moral compass. And there's some, there's some, there's some positive things to a good church and that's how those rock and roll culty Super Hollywood churches get started because people say, I want a church. I just don't want a traditional church. I want something spiritual and funds and killing.

Speaker 2:          01:52:42       It's not like the church. When I grew up, I said to my dad, why do we go here every Sunday? He went, shut up. That was the answer because it was like, we just go, you go, you guys don't want your mom to get mad. But people in Hollywood and people that they, you know want the hip work, they want to be drawn to it. They want it to speak to them. Yeah. They played rock and roll music and religions call. My soul is, you know, and it's, you know, it's just a lot of horse shit. It is shit. It makes them feel good. Yeah. My Buddy's a assistant and a buddy of mine who was his assistant was going to one of those church. She was a NYMPHOMANIAC and she was trying to stop fucking everybody, so she started going to church. What church is that?

Speaker 2:          01:53:20       The Stop fucking around church. She'll just start fucking get spiritual. She's like, I'm going to be celibate. I'm like, Eh, whatever. Yeah. She was one of those gals. She'd just have a couple of pops and then off to the races. Listen, you live lunch, you live. Once she was on, she was attractive. She was having a good time. Yeah. I don't see the problem. What church did she go to? This one of them cracked. I Dunno, this is decades ago, but it was one of them. Crazy rock and roll type churches. Oh, that's so funny. You know the Catholic I, I think it's interesting that people that joined the Catholic religion now, oh, that's ridiculous. Who's joining it now? Yeah. Who's going in and going, you know what? I enjoy it. I don't know who did it. You know Glenn Beck joined the Mormons as a grown man. Well, that makes sense.

Speaker 2:          01:53:59       That makes sense. Yeah. It's a little off. Maybe one the nine whys. Yeah. It's probably why you're sort of course did. So it's a huge benefit. Do you know the, the whole Mitt Romney store? No. You don't know? I don't know. So I have my cousin married a Mormon who they excommunicated from the church when he was like 17 Mitt Romney's family all moved to Mexico. That's why Mitt Romney's dad could never be president because meant Romney's dad was born in Mexico because when they passed the law making polygamy illegal in the United States, they all packed up their shit and went to Mexico. Really? Yes. Because in the 18 hundreds it didn't fucking matter if you were in Mexico or the United States, it was all the same. You're riding a horse everywhere. Fuck. They're like that could have nine wives over here. So they have these compounds. Vice did a whole series.

Speaker 2:          01:54:43       Now they have compounds down there with the armed guards. Yeah, because the cartel was fucking kidnapping them and shit. Interesting. So Mitt Romney's dad was like, you can't take nice fucking guys. They still have a fucking, they still have a compound down there in the Smithsonian magazine, but is that the smithsonian.com au has a story on it? Yeah, the Romney's Mexican history. Yeah, the whole family. That's what I meant from Mexico. Amazing. Amazing. That's amazing. It's amazing. They, I know they went down there because they couldn't do what they wanted to do in the United States. There was no polygamy in the u s anymore. Anyone? No, that's legal interest. It's just hilarious. Yeah. Let it happen. Because here's the thing, you could have like nine girlfriends. Sure. And I'll live together and no one could say shit, but as soon as you write it down, it's a prop you up and put you in jail. There was a show called like sister wives or something. It was about people that, I think they were living in the state and then like multiple wives. Was it? Yeah, it's probably bullshit. Okay. I don't think polygamy Google it. Maybe it's like legal in like

Speaker 3:          01:55:44       Nebraska or some shit. Sorry Nebraska. I liked it. Then Brasco would be just a place to go. You know what? Let live and let live live and let live. Live Rask is like, we're having a hard time keeping people here so you can just fuck anything. Anyone you want Mary, your dog, Mary, everything is polygamy nationwide, federally illegal. It is illegal. But I know what you're talking about where there is TV shows where people are still doing it. So also have you successfully infiltrated a pedophile youtube group yet waiting for the tweet. So Lazy. But it is crazy that his family was like, well fuck it. We'll just move to Mexico and he made a great point. It's the same thing. You're on a horse back then. Yes. To Rio Grande. Yeah, because I think when they made it illegal in the 18 hundreds look at us as a polygamous community crumbles.

Speaker 3:          01:56:28       Sister. Wives are forced from homes. This is the caliber of life. This is interesting. Saw you get bro. If you want nine of them, you don't get nine good ones. You need to get one 10 or not in ones. This is a lot of, you know this is, you don't think of nine shitty wives. No, you don't think of nine horrible wives, but the thing is you could have those wives. You just can't have them legally let you. They can't be legally your wife, but you could do like a whole like roots jump over the broom. You know you could, you could. You can make your own ceremony. Of course he just can't register in the courthouse, which is hilarious to me. Like who the fuck are you to tell someone that can, all right. How about a woman that has five husbands? Can we do that?

Speaker 3:          01:57:06       Yeah, you go girl. Power. Power for ground for it. I'm for polygamy. Me Too. I want to come out short on this show. Five cucs and one woman. Who Cares? I'll sit around stroking their half our dicks waiting their turn crying. Perfect. That is a perfect representation of 2019 America. Who would vote that out? Who would say no to sick people? Someone was a communist. We need more people getting the youtube pedophile cults out. Yes. And putting the polygamous sin. We need priorities. I feel like if you want to marry a guy with 18 year friends who gives a shit. Yeah. I guess the problem is the divorce. Yeah. Isn't that the issue of money for you? Sorry, I'm splitting it up 18 ways. You're not going to get a lot, right? Anyone with 18 of anything? Unless you're like assaulting, you probably don't have a ton anyway.

Speaker 3:          01:57:53       Unless you Jeff Bezos. Yeah. Well that was a kid. He could marry a hundred chicks and give them all a billion. Gotcha. How sill that 50 leftover. What? Yeah, he's doing good. He's doing good. But that whole thing with him, that was an interesting thing. The uh, the pictures being leaked and it turns out it's the brother that leaked the pictures. I love the brother immediately. As soon as I read the article, because I'm like, this is Trump supporter. Not only is your Trump supporter, this is a guy who tried to leverage himself forever and he found out his history was fucking Jeff Bezos. Can you imagine the night he found that out? The night he found that out. Where was he? What was he doing? He was somewhere thinking, this is it. She's fucked. A lot of people that are good now. She's fucking basis now.

Speaker 3:          01:58:36       Some cash in now it's time to think of something good. How do we do it? This is a plot guy. Yeah. I wonder what the enquirer gave him. How much money you get for something like that? Half a mil. Bayzos Dick. I want more. I want a solid mill. Solid male. You think your life, he's going to kill you. You think he will? If he doesn't, I'll be disappointed. It's a good point. Make it look like an accident. If you're a fucking, you know he's, he's like daddy Warbucks. Yeah, he's the guy. He's the guy. He's got a hundred automated, automated everything and Amazon's like notoriously like he's an alien. He looks like he's artificial intelligence. He's Ai. Yeah. He has that look already. He's super smart and he's going to play it real slow. Yeah. Helen's slave the world and you know what? Let him, he's probably going to hire somebody to fuck up that guy's life slowly. I'm sure he already has. Yeah, we'll slow. This is your new job. Your new job is to slowly make that guys lodash everything. Everything. Flat tires every day. Yeah, yeah, yeah, yeah.

Speaker 3:          01:59:39       I love the henchman that's going at nailing flat tires set up. He's going to check for cameras. That's amazing. Yeah. The paint, the base says those are the new type. Like cause I studied a lot about like Rockefeller, Carnegie, guys like that and those guys, nobody's, he amassed a fortune of those guys. Had Rockefeller at like 336 billion in today's dollars. Laura Carnegie at 372 billion. I mean these, these were the first, how much did they have in their time? Ah, cause the questions and their time, I don't know, but in, in it was millions. Well I don't think it was billions, but in our time it's about, it's the over 300 million. Both of them. These were the first generation of B, B. B. This was the first generation of Robert Bat. Like the first generation of entrepreneurs, you know, the country was new, all of these industries would just emerging and these guys took it over.

Speaker 3:          02:00:26       Bayzos tech is, and somebody said, it's on my podcast recently. Tech is the closest thing we have now to that where you have these, you know, masters of the universe that are going to be, I mean those guys would be, JP Morgan was like bailing the government out. These guys had an insane amount of power. Um, they what's really, really interesting figures. Yeah. I was just, when I told you I was doing this, chariots of the gods lunch today with a bunch of very influential people and one of them said, it's really ironic that apple used to be think different and that was the whole thing about silicon valley. Think different now. It's don't think different right now. Now let's streamline everybody into one acceptable thing. Yeah. Now it's literally you have to think the way everyone else is thinking. You have to believe what everyone else believes, even if it's ridiculous. I think a lot of that is they want to just make money and sell things and they don't want any discord. They just want to sell, make money, sort of. But it seems like, I don't think, cause they don't band people after they do the things they banned him after there's a public outcry. So to me they're not, they don't have any real values. Their values are tangible and the values are influenced by public opinion and where media is. The values aren't like when somebody says

Speaker 2:          02:01:40       something, let's ban him right now this goes against our thing. A lot of it is if you wait until there's enough dust kicked up, then they will ban somebody. Right. That's true. So to me, I get in arguments with friends when they were like their ideological, I'm like they have an ideological bent certainly, but their profit seeking enterprises that just want everyone to be happy. I think if it was up to Twitter, every tweet would be some type of branded ad. And on top of that, now the ideology is skewing and leaning in that direction in terms of like tech and sure, there's money in that. There's money in holding that line and those guys are the ones that are as powerful as Rockefeller and Carnegie and JP. Like all of those guys, they are the next generation of people who will, their amount of powers is unmatched anywhere in society they're, they're getting, they're branching out more and more.

Speaker 2:          02:02:30       Like the Amazon is now going to have a, an electric car. They're investing in that new, what's it called? Rivan ravion some new electric car company that's that uh, Bayzos is investing in. They're investing in space travel. They're investing in all these different, I mean, he's not going to get poorer and more and more rich. No, he's gonna take over everything. I mean, these luck we have, you cannot doubt, you can't opt out of these systems. You have to be involved to live a normal life. You have to be online. Did you see how someone tried to use to go online, live their life without Google? Amazon, good luck. A few other things. And apple and they said they couldn't do it. Now are you should fear is the only one who can do it with a flip phone. He's barely doing it. He's on his iPad using his friend I messages.

Speaker 2:          02:03:17       He messages me all the time, all the time, pretend these. But I think I give them that. I'm impressed that he still has a flip phone. Well he, he knows that he's an addict, you know, he knows and he's an honest man, you know, and he's like, fuck this, this is just too much of my life. He's right. He'd be checking social media constantly and, and also if you're, you know, your controversial like he is, a lot of people are talking shit to him and that would hurt his feelings and saying mean things to him. And social media has gotten to the point where I'm on it all day and I'm like, I'm not having any fun. No. It's really gotten to the point where, what does this experience, Facebook is a nightmare. It's elderly people screaming at each other. This was a website where kids were trying to get laid in college.

Speaker 2:          02:04:01       This is elderly people screaming and complaining. They can't afford knee operations and I'm just going like this all day. Yeah, it's, it's not, you don't get a lot of bang for your buck. I've dropped off radically over the last six months. The last six months I've made a giant giant shift away from a reading things and posting things and just, I like look at it and look for a couple seconds and then I'll put it down on a hope your post. Yeah. Yeah. I'm more engaged. I'm too fucking busy, you know. And so what I'm trying to figure out ways to better optimize my time. That was one of the first ones. Stopped reading comments, stop reading posts, don't just it mindlessly c shift through Instagram pictures, looking for something that strikes me as interesting. I just stopped doing that and it made a big difference in my productivity.

Speaker 2:          02:04:46       Yeah, huge difference. Yeah. Cause you know when the, when I phone real recently they started putting that thing on your phone. We see how much screen time you had. Oh yeah. That's crazy. You look at it, you're like, what? Five hours? I now is 46 minutes. That's five hours of nothing. Yeah. What did I do? I get a little out of it. Right? I'll go find new stories that can talk about, but it's like finding, I found that like finding the perfect blend seems to be letting the stories get so big that they get to you anyway. No, I've got the fringe stories to like the Jesse Small age. It gets so big you can't hear about it. Yeah. And then you hear, and I love the day that the day when we all found out it was social media is great today that we all found out he was full of shit because then anyone could make jokes.

Speaker 2:          02:05:29       But the three days before that, everyone is posturing. Oh, so thought out. Right. But then when it came out that it was all bullshit, everyone's like, oh, let's just have fun. And even though it's, you know, I'm not saying that people aren't getting attacked and things aren't bad, but this particular thing, right. If you can't make a joke about this, what can you make a joke about? If you can't make a Joseph, if you think someone shouldn't joke about this, fuck you. Fuck you. Fuck you. Absolutely. Absolutely. Yeah. Yeah. This is one of those things that it's fucking ridiculous. Insane. Holding the subway with the fucking news. He pled not guilty in court. No, he did. Yes he did. No, Jamie, he pled not guilty on everything. Right? He denied all charges. He denied all charges. He's going to take his own life. I believe they have the check.

Speaker 2:          02:06:17       He wrote to them. Check 35 hunch. Ah, he wrote a check already. $500 in cash. He wrote a check that she has. The other thing I could get punched in five minutes for free. I could get beat up so easily. Why is this guy spending $3,500 well, not only that, why do you write a check? Do you have no friends? He just, he just didn't think this through even a little bit. Yeah. God dammit. It's disappointing. It's kind of funny though. There's nothing funnier right now. Well, I think this is what we need. You know, we need to understand the outrage machine a little bit better and one of the best ways to see it as see manufactured outrage. Absolutely. And then you go, oh okay this is a hustle. Well the cup and thing was great because people like wishing death on 15 year old kids and it's like the video comes out exonerates them and then people are like, no.

Speaker 2:          02:07:05       Yeah, people were doubling down. People like you can't deny what my eyes saw. I'm like, oh yo nuts. And then I was afraid cause I'm like tweeting things that supported the kids. But I'm like, what if the next video, it's just the kids in Klan outfits like this and just dancing around with, with torches like Charlottesville. And I'm like, well then now I look like an idiot. Yeah, you can't, you don't know what to tell them. You're better off being an observer. Yeah, just split it up into the fray. He just, you make little choke sit back. Yeah. It's like a gang fight. You better upstairs standing back and going, hmm, I don't want to jump in there. And every, every day, every hour. Another vantage point of that thing was like, well, no, maybe they are guilty. Yeah. You know, I saw that thing. It was like a white kid.

Speaker 2:          02:07:44       I slept, they encircled the native American guy who was banging the drum. And I'm like, fuck these kids. That's not good. When you see the first image and you know, the first image, which is even crazier, was put up by a troll account. Right? Russians, I don't know who the fuck it was, what they know all the problems. Russian planes that came out of Brazil because I saw something yesterday, a few shady social media posts fed a viral firestorm over coving and Catholic. Oh sure. Why it will happen again. Yeah. These co the, they're doing this on purpose, the, they took that screenshot to try to get people angry and it worked. And then they Twitter found out that it was a bullshit account and banned the account. So it's very possible that account was some troll. Oh No, it's a troll farm. Wow. Yeah.

Speaker 2:          02:08:28       So that's what they'd say. We're being manipulated now on a level that is like unbelievable. Unbelievable, unbelievable. And people are furious. Dude, I hate to cut this short, but I gotta get the fuck out of here. Let's do it. Tell everybody how to get ahold of you on Instagram and Twitter. D I. L. L. O. N. Uh, Timothy, Tim Dillon, comedy.com we're doing a Gig, right? What'd you to tomorrow? That's right. Tomorrow at the Improv and 15 shuttle. He attacks me on the way. Let's see. It's going to show up for the news to the subway, so I hope I get in blackface. Thank you. Thank you, Tim. Down. Ladies and gentlemen. Thanks a lot of fun, man.
